,index,type,wtid,pwrat,pwrat,pwrat,pwrat,pwrat,gen1tmp,gen1tmp,gen1tmp,gen1tmp,gen1tmp,gen2tmp,gen2tmp,gen2tmp,gen2tmp,gen2tmp,gen3tmp,gen3tmp,gen3tmp,gen3tmp,gen3tmp,rotspd,rotspd,rotspd,rotspd,rotspd,gen_zcd_tmp,gen_zcd_tmp,gen_zcd_tmp,gen_zcd_tmp,gen_zcd_tmp,gen_zcnd_tmp,gen_zcnd_tmp,gen_zcnd_tmp,gen_zcnd_tmp,gen_zcnd_tmp,nactmp,nactmp,nactmp,nactmp,nactmp,nacelcabtmp,nacelcabtmp,nacelcabtmp,nacelcabtmp,nacelcabtmp,exltmp,exltmp,exltmp,exltmp,exltmp,wdir,wdir,wdir,wdir,wdir,wdirs,wdirs,wdirs,wdirs,wdirs,wspd,wspd,wspd,wspd,wspd,wdir0,wdir0,wdir0,wdir0,wdir0,pitch1,pitch1,pitch1,pitch1,pitch1,pitch2,pitch2,pitch2,pitch2,pitch2,pitch3,pitch3,pitch3,pitch3,pitch3,cp1tmp,cp1tmp,cp1tmp,cp1tmp,cp1tmp,cp2tmp,cp2tmp,cp2tmp,cp2tmp,cp2tmp,cp3tmp,cp3tmp,cp3tmp,cp3tmp,cp3tmp,mot1tmp,mot1tmp,mot1tmp,mot1tmp,mot1tmp,mot2tmp,mot2tmp,mot2tmp,mot2tmp,mot2tmp,mot3tmp,mot3tmp,mot3tmp,mot3tmp,mot3tmp,rotspdzz,rotspdzz,rotspdzz,rotspdzz,rotspdzz,gear_oil_tmp,gear_oil_tmp,gear_oil_tmp,gear_oil_tmp,gear_oil_tmp,zztmp,zztmp,zztmp,zztmp,zztmp,limpw,limpw,limpw,limpw,limpw,accy,accy,accy,accy,accy,accyfil,accyfil,accyfil,accyfil,accyfil,accx,accx,accx,accx,accx,accxfil,accxfil,accxfil,accxfil,accxfil,pwp,pwp,pwp,pwp,pwp,yaw,yaw,yaw,yaw,yaw,fault,fault,fault,fault,fault,statel,statel,statel,statel,statel,state,state,state,state,state,statety,statety,statety,statety,statety,windbin,pwrat,1#
,,,,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,mymode,nanmax,nanmean,nanstd,nanmin,,,
"('localtime', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-21 16:35:00,2024-12-21 16:35:00,MYSE5.0-200,1#,418.0,418.0,418.0,,418.0,57.81999969482422,57.81999969482422,57.81999969482422,,57.81999969482422,56.13999938964844,56.13999938964844,56.13999938964844,,56.13999938964844,57.310001373291016,57.310001373291016,57.310001373291016,,57.310001373291016,1077.800048828125,1077.800048828125,1077.800048828125,,1077.800048828125,28.5,28.5,28.5,,28.5,31.0,31.0,31.0,,31.0,16.100000381469727,16.100000381469727,16.100000381469727,,16.100000381469727,19.399999618530273,19.399999618530273,19.399999618530273,,19.399999618530273,-0.20000000298023224,-0.20000000298023224,-0.20000000298023224,,-0.20000000298023224,17.0,17.0,17.0,,17.0,17.0,17.0,17.0,,17.0,3.822000026702881,3.822000026702881,3.822000026702881,,3.822000026702881,186.3000030517578,186.3000030517578,186.3000030517578,,186.3000030517578,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.599999904632568,5.599999904632568,5.599999904632568,,5.599999904632568,51.79999923706055,51.79999923706055,51.79999923706055,,51.79999923706055,17.59000015258789,17.59000015258789,17.59000015258789,,17.59000015258789,5.0,5.0,5.0,,5.0,0.00279999990016222,0.00279999990016222,0.00279999990016222,,0.00279999990016222,0.00279999990016222,0.00279999990016222,0.00279999990016222,,0.00279999990016222,0.004800000227987766,0.004800000227987766,0.004800000227987766,,0.004800000227987766,0.004800000227987766,0.004800000227987766,0.004800000227987766,,0.004800000227987766,16024.0,16024.0,16024.0,,16024.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,4.0,585.306,530.703
2024-12-21 16:36:00,2024-12-21 16:36:00,MYSE5.0-200,1#,423.0,423.0,423.0,,423.0,57.880001068115234,57.880001068115234,57.880001068115234,,57.880001068115234,56.56999969482422,56.56999969482422,56.56999969482422,,56.56999969482422,57.38999938964844,57.38999938964844,57.38999938964844,,57.38999938964844,1076.300048828125,1076.300048828125,1076.300048828125,,1076.300048828125,28.5,28.5,28.5,,28.5,31.0,31.0,31.0,,31.0,15.600000381469727,15.600000381469727,15.600000381469727,,15.600000381469727,20.399999618530273,20.399999618530273,20.399999618530273,,20.399999618530273,-0.10000000149011612,-0.10000000149011612,-0.10000000149011612,,-0.10000000149011612,1.600000023841858,1.600000023841858,1.600000023841858,,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,,1.600000023841858,3.7239999771118164,3.7239999771118164,3.7239999771118164,,3.7239999771118164,190.6999969482422,190.6999969482422,190.6999969482422,,190.6999969482422,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.599999904632568,5.599999904632568,5.599999904632568,,5.599999904632568,51.70000076293945,51.70000076293945,51.70000076293945,,51.70000076293945,17.690000534057617,17.690000534057617,17.690000534057617,,17.690000534057617,5.0,5.0,5.0,,5.0,-0.004100000020116568,-0.004100000020116568,-0.004100000020116568,,-0.004100000020116568,-0.004100000020116568,-0.004100000020116568,-0.004100000020116568,,-0.004100000020116568,-0.000699999975040555,-0.000699999975040555,-0.000699999975040555,,-0.000699999975040555,-0.000699999975040555,-0.000699999975040555,-0.000699999975040555,,-0.000699999975040555,16024.0,16024.0,16024.0,,16024.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.5,390.333,379.702
2024-12-21 16:37:00,2024-12-21 16:37:00,MYSE5.0-200,1#,380.0,380.0,380.0,,380.0,58.04999923706055,58.04999923706055,58.04999923706055,,58.04999923706055,56.529998779296875,56.529998779296875,56.529998779296875,,56.529998779296875,57.459999084472656,57.459999084472656,57.459999084472656,,57.459999084472656,1073.4000244140625,1073.4000244140625,1073.4000244140625,,1073.4000244140625,28.5,28.5,28.5,,28.5,31.0,31.0,31.0,,31.0,15.600000381469727,15.600000381469727,15.600000381469727,,15.600000381469727,22.5,22.5,22.5,,22.5,-0.20000000298023224,-0.20000000298023224,-0.20000000298023224,,-0.20000000298023224,2.299999952316284,2.299999952316284,2.299999952316284,,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,,2.299999952316284,3.7239999771118164,3.7239999771118164,3.7239999771118164,,3.7239999771118164,176.5,176.5,176.5,,176.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.5,5.5,5.5,,5.5,51.79999923706055,51.79999923706055,51.79999923706055,,51.79999923706055,17.690000534057617,17.690000534057617,17.690000534057617,,17.690000534057617,5.0,5.0,5.0,,5.0,-0.0008999999845400453,-0.0008999999845400453,-0.0008999999845400453,,-0.0008999999845400453,-0.0008999999845400453,-0.0008999999845400453,-0.0008999999845400453,,-0.0008999999845400453,-0.0027000000700354576,-0.0027000000700354576,-0.0027000000700354576,,-0.0027000000700354576,-0.0027000000700354576,-0.0027000000700354576,-0.0027000000700354576,,-0.0027000000700354576,16024.0,16024.0,16024.0,,16024.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.5,390.333,379.702
2024-12-21 16:38:00,2024-12-21 16:38:00,MYSE5.0-200,1#,375.0,375.0,375.0,,375.0,58.040000915527344,58.040000915527344,58.040000915527344,,58.040000915527344,56.56999969482422,56.56999969482422,56.56999969482422,,56.56999969482422,57.58000183105469,57.58000183105469,57.58000183105469,,57.58000183105469,1069.9000244140625,1069.9000244140625,1069.9000244140625,,1069.9000244140625,28.700000762939453,28.700000762939453,28.700000762939453,,28.700000762939453,31.100000381469727,31.100000381469727,31.100000381469727,,31.100000381469727,16.100000381469727,16.100000381469727,16.100000381469727,,16.100000381469727,20.799999237060547,20.799999237060547,20.799999237060547,,20.799999237060547,-0.20000000298023224,-0.20000000298023224,-0.20000000298023224,,-0.20000000298023224,6.5,6.5,6.5,,6.5,6.5,6.5,6.5,,6.5,3.7239999771118164,3.7239999771118164,3.7239999771118164,,3.7239999771118164,190.0,190.0,190.0,,190.0,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.5,5.5,5.5,,5.5,51.900001525878906,51.900001525878906,51.900001525878906,,51.900001525878906,17.59000015258789,17.59000015258789,17.59000015258789,,17.59000015258789,5.0,5.0,5.0,,5.0,0.00800000037997961,0.00800000037997961,0.00800000037997961,,0.00800000037997961,0.00800000037997961,0.00800000037997961,0.00800000037997961,,0.00800000037997961,-0.004399999976158142,-0.004399999976158142,-0.004399999976158142,,-0.004399999976158142,-0.004399999976158142,-0.004399999976158142,-0.004399999976158142,,-0.004399999976158142,16024.0,16024.0,16024.0,,16024.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,3.5,390.333,379.702
2024-12-21 16:39:00,2024-12-21 16:39:00,MYSE5.0-200,1#,449.0,449.0,449.0,,449.0,58.15999984741211,58.15999984741211,58.15999984741211,,58.15999984741211,56.439998626708984,56.439998626708984,56.439998626708984,,56.439998626708984,57.560001373291016,57.560001373291016,57.560001373291016,,57.560001373291016,1070.5,1070.5,1070.5,,1070.5,28.600000381469727,28.600000381469727,28.600000381469727,,28.600000381469727,31.200000762939453,31.200000762939453,31.200000762939453,,31.200000762939453,15.899999618530273,15.899999618530273,15.899999618530273,,15.899999618530273,20.5,20.5,20.5,,20.5,-0.20000000298023224,-0.20000000298023224,-0.20000000298023224,,-0.20000000298023224,22.299999237060547,22.299999237060547,22.299999237060547,,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,,22.299999237060547,3.822000026702881,3.822000026702881,3.822000026702881,,3.822000026702881,188.3000030517578,188.3000030517578,188.3000030517578,,188.3000030517578,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.5,5.5,5.5,,5.5,51.900001525878906,51.900001525878906,51.900001525878906,,51.900001525878906,17.59000015258789,17.59000015258789,17.59000015258789,,17.59000015258789,5.0,5.0,5.0,,5.0,0.0031999999191612005,0.0031999999191612005,0.0031999999191612005,,0.0031999999191612005,0.0031999999191612005,0.0031999999191612005,0.0031999999191612005,,0.0031999999191612005,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,,0.0010000000474974513,16081.0,16081.0,16081.0,,16081.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,4.0,585.306,530.703
2024-12-21 16:40:00,2024-12-21 16:40:00,MYSE5.0-200,1#,429.0,429.0,429.0,,429.0,58.29999923706055,58.29999923706055,58.29999923706055,,58.29999923706055,56.84000015258789,56.84000015258789,56.84000015258789,,56.84000015258789,57.790000915527344,57.790000915527344,57.790000915527344,,57.790000915527344,1076.5999755859375,1076.5999755859375,1076.5999755859375,,1076.5999755859375,28.600000381469727,28.600000381469727,28.600000381469727,,28.600000381469727,31.200000762939453,31.200000762939453,31.200000762939453,,31.200000762939453,15.899999618530273,15.899999618530273,15.899999618530273,,15.899999618530273,21.799999237060547,21.799999237060547,21.799999237060547,,21.799999237060547,-0.20000000298023224,-0.20000000298023224,-0.20000000298023224,,-0.20000000298023224,-16.799999237060547,-16.799999237060547,-16.799999237060547,,-16.799999237060547,-16.799999237060547,-16.799999237060547,-16.799999237060547,,-16.799999237060547,3.822000026702881,3.822000026702881,3.822000026702881,,3.822000026702881,182.10000610351562,182.10000610351562,182.10000610351562,,182.10000610351562,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.599999904632568,5.599999904632568,5.599999904632568,,5.599999904632568,52.0,52.0,52.0,,52.0,17.59000015258789,17.59000015258789,17.59000015258789,,17.59000015258789,5.0,5.0,5.0,,5.0,0.00139999995008111,0.00139999995008111,0.00139999995008111,,0.00139999995008111,0.00139999995008111,0.00139999995008111,0.00139999995008111,,0.00139999995008111,-0.0013000000035390258,-0.0013000000035390258,-0.0013000000035390258,,-0.0013000000035390258,-0.0013000000035390258,-0.0013000000035390258,-0.0013000000035390258,,-0.0013000000035390258,16081.0,16081.0,16081.0,,16081.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,4.0,585.306,530.703
2024-12-21 16:41:00,2024-12-21 16:41:00,MYSE5.0-200,1#,579.0,579.0,579.0,,579.0,58.45000076293945,58.45000076293945,58.45000076293945,,58.45000076293945,57.150001525878906,57.150001525878906,57.150001525878906,,57.150001525878906,57.97999954223633,57.97999954223633,57.97999954223633,,57.97999954223633,1069.9000244140625,1069.9000244140625,1069.9000244140625,,1069.9000244140625,28.799999237060547,28.799999237060547,28.799999237060547,,28.799999237060547,31.200000762939453,31.200000762939453,31.200000762939453,,31.200000762939453,16.0,16.0,16.0,,16.0,23.5,23.5,23.5,,23.5,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,-0.30000001192092896,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,,-1.0,4.116000175476074,4.116000175476074,4.116000175476074,,4.116000175476074,174.60000610351562,174.60000610351562,174.60000610351562,,174.60000610351562,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.5,5.5,5.5,,5.5,52.099998474121094,52.099998474121094,52.099998474121094,,52.099998474121094,17.690000534057617,17.690000534057617,17.690000534057617,,17.690000534057617,5.0,5.0,5.0,,5.0,0.0034000000450760126,0.0034000000450760126,0.0034000000450760126,,0.0034000000450760126,0.0034000000450760126,0.0034000000450760126,0.0034000000450760126,,0.0034000000450760126,-0.0020000000949949026,-0.0020000000949949026,-0.0020000000949949026,,-0.0020000000949949026,-0.0020000000949949026,-0.0020000000949949026,-0.0020000000949949026,,-0.0020000000949949026,16081.0,16081.0,16081.0,,16081.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,4.0,585.306,530.703
2024-12-21 16:42:00,2024-12-21 16:42:00,MYSE5.0-200,1#,433.0,433.0,433.0,,433.0,58.619998931884766,58.619998931884766,58.619998931884766,,58.619998931884766,57.189998626708984,57.189998626708984,57.189998626708984,,57.189998626708984,58.060001373291016,58.060001373291016,58.060001373291016,,58.060001373291016,1069.300048828125,1069.300048828125,1069.300048828125,,1069.300048828125,28.700000762939453,28.700000762939453,28.700000762939453,,28.700000762939453,31.299999237060547,31.299999237060547,31.299999237060547,,31.299999237060547,16.299999237060547,16.299999237060547,16.299999237060547,,16.299999237060547,20.799999237060547,20.799999237060547,20.799999237060547,,20.799999237060547,-0.30000001192092896,-0.30000001192092896,-0.30000001192092896,,-0.30000001192092896,14.100000381469727,14.100000381469727,14.100000381469727,,14.100000381469727,14.100000381469727,14.100000381469727,14.100000381469727,,14.100000381469727,3.822000026702881,3.822000026702881,3.822000026702881,,3.822000026702881,183.60000610351562,183.60000610351562,183.60000610351562,,183.60000610351562,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,,-0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,,6.0,5.0,5.0,5.0,,5.0,6.0,6.0,6.0,,6.0,5.5,5.5,5.5,,5.5,52.29999923706055,52.29999923706055,52.29999923706055,,52.29999923706055,17.790000915527344,17.790000915527344,17.790000915527344,,17.790000915527344,5.0,5.0,5.0,,5.0,0.00430000014603138,0.00430000014603138,0.00430000014603138,,0.00430000014603138,0.00430000014603138,0.00430000014603138,0.00430000014603138,,0.00430000014603138,0.0008999999845400453,0.0008999999845400453,0.0008999999845400453,,0.0008999999845400453,0.0008999999845400453,0.0008999999845400453,0.0008999999845400453,,0.0008999999845400453,16081.0,16081.0,16081.0,,16081.0,188.0,188.0,188.0,,188.0,0.0,0.0,0.0,,0.0,90002.0,90002.0,90002.0,,90002.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,,3.0,4.0,585.306,530.703
